DATE	RAA	DEC	ELEVATION	AZIMUTH	GIRI-EL	GIRI-AZ	V-EL	V-AZ
2024-08-21T11:25:38	55.99977665452617	178.49984485335912	149.92707771359377	12.0585	207158	9981765	-732.0223345473828	11105.015514664088
2024-08-21T11:25:39	56.01985606749242	178.50676035219254	149.9270204741076	12.0785	20000000	20000000	-730.0143932507581	11104.323964780746
2024-08-21T11:25:54	55.96844589284296	175.93546239305465	151.46097952589238	12.0785	183991	9202424	-735.1554107157044	11361.453760694534
2024-08-21T11:25:55	55.98863267052785	175.94102934654762	151.46103686739147	12.0985	20000000	20000000	-733.136732947215	11360.897065345238
2024-08-21T11:26:10	56.04203256427312	178.73355545584334	149.9269631326085	12.0985	191113	9994178	-727.7967435726878	11081.644454415666
2024-08-21T11:26:11	56.062100433046766	178.74057580488366	149.92690568905968	12.118500000000001	20000000	20000000	-725.7899566953233	11080.942419511633
2024-08-21T11:26:26	56.0148253707863	176.166063879529	151.4610943109403	12.118500000000001	169192	9213926	-730.5174629213702	11338.3936120471
2024-08-21T11:26:27	56.03500283519874	176.17173693396774	151.46115185657584	12.1385	20000000	20000000	-728.4997164801262	11337.826306603227
2024-08-21T11:26:42	56.08390872291128	178.96769542470335	149.92684814342414	12.1385	175029	10006462	-723.6091277088717	11058.230457529666
2024-08-21T11:26:43	56.10396486674126	178.9748267387289	149.9267904956649	12.1585	20000000	20000000	-721.6035133258742	11057.51732612711
2024-08-21T11:26:58	56.060835132857335	176.3971447098398	151.46120950433507	12.1585	154357	9225272	-725.9164867142663	11315.285529016019
2024-08-21T11:26:59	56.08100317252702	176.40292898301473	151.46126725425506	12.1785	20000000	20000000	-723.8996827472979	11314.707101698526
2024-08-21T11:27:14	56.12540408865672	179.20227730718963	149.9267327457449	12.1785	158906	10018594	-719.4595911343276	11034.772269281037
2024-08-21T11:27:15	56.145448279593126	179.2095203995372	149.92667489362702	12.198500000000001	20000000	20000000	-717.4551720406876	11034.047960046279
2024-08-21T11:27:30	56.1064739308787	176.6287045136289	151.46132510637295	12.198500000000001	139485	9236488	-721.3526069121299	11292.129548637111
2024-08-21T11:27:31	56.1266323636038	176.63460248619012	151.46138306072598	12.2185	20000000	20000000	-719.3367636396201	11291.539751380988
2024-08-21T11:27:46	56.16651747021113	179.43729263719834	149.926616939274	12.2185	142744	10030554	-715.3482529788866	11011.270736280167
2024-08-21T11:27:47	56.18654950226631	179.44465160150517	149.92655888264852	12.2385	20000000	20000000	-713.3450497733688	11010.534839849483
2024-08-21T11:28:02	56.151740669673764	176.86074883388952	151.46144111735146	12.2385	124577	9247535	-716.8259330326237	11268.925116611048
2024-08-21T11:28:03	56.17188913722915	176.86675470163144	151.4614992762867	12.2585	20000000	20000000	-714.811086277085	11268.324529836857
2024-08-21T11:28:18	56.20724779468619	179.6727545578307	149.92650072371327	12.2585	126545	10042399	-711.2752205313809	10987.72454421693
2024-08-21T11:28:19	56.22726742805957	179.6802218552516	149.92644246243083	12.278500000000001	20000000	20000000	-709.2732571940433	10986.97781447484
2024-08-21T11:28:34	56.19663389439221	177.09326602103718	151.46155753756915	12.278500000000001	109634	9258462	-712.3366105607793	11245.673397896282
2024-08-21T11:28:35	56.21677217649826	177.09937867726035	151.46161590123634	12.2985	20000000	20000000	-710.3227823501738	11245.062132273964
2024-08-21T11:28:50	56.247593888421164	179.90863143318205	149.92638409876363	12.2985	110307	10054041	-707.2406111578834	10964.136856681795
2024-08-21T11:28:52	56.267600938401365	179.91620840831843	149.92632563267412	12.3185	20000000	20000000	-705.2399061598635	10963.379159168158
2024-08-21T11:29:07	56.24115210917369	177.32623705014018	151.46167436732586	12.3185	94657	9269254	-707.884789082631	11222.376294985981
2024-08-21T11:29:08	56.2612801442194	177.33246295307967	151.46173293587535	12.3385	20000000	20000000	-705.87198557806	11221.753704692033
2024-08-21T11:29:23	56.28755476069379	180.14492523296192	149.92626706412463	12.3385	94034	10065527	-703.2445239306212	10940.507476703808
2024-08-21T11:29:24	56.30754915793284	180.1525066374297	149.92620839307745	12.358500000000001	20000000	20000000	-701.245084206716	10939.749336257031
2024-08-21T11:29:39	56.28529263392767	177.55956425216885	151.46179160692253	12.358500000000001	79653	9279887	-703.4707366072334	11199.043574783114
2024-08-21T11:29:40	56.30541015681819	177.56589866867395	151.46185038050518	12.3785	20000000	20000000	-701.4589843181811	11198.410133132606
2024-08-21T11:29:55	56.32712969086768	180.38153290657755	149.9261496194948	12.3785	77732	10076879	-699.2870309132322	10916.846709342244
2024-08-21T11:29:56	56.34711099697712	180.38934793145225	149.92609074333876	12.3985	20000000	20000000	-697.2889003022879	10916.065206854775
2024-08-21T11:30:11	56.32905833687587	177.79347249943422	151.46190925666122	12.3985	64608	9290384	-699.0941663124131	11175.652750056579
2024-08-21T11:30:12	56.349165196046116	177.7999168734249	151.46196823542857	12.4185	20000000	20000000	-697.0834803953885	11175.008312657508
2024-08-21T11:30:27	56.36631723976159	180.61867849947905	149.9260317645714	12.4185	61385	10088072	-695.3682760238407	10893.132150052095
2024-08-21T11:30:28	56.386285429693814	180.62659928724625	149.9259726831547	12.438500000000001	20000000	20000000	-693.3714570306188	10892.340071275376
2024-08-21T11:30:43	56.37244420646089	178.0277135280469	151.46202731684528	12.438500000000001	49536	9301158	-694.7555793539109	11152.228647195312
2024-08-21T11:30:44	56.39254027108281	178.03426997109943	151.46208650094937	12.4585	20000000	20000000	-692.7459728917192	11151.573002890056
2024-08-21T11:30:59	56.40511745308575	180.85608568010997	149.9259134990506	12.4585	45012	10099002	-691.488254691425	10869.391431989003
2024-08-21T11:31:00	56.42507235049134	180.86411822236505	149.92585421222088	12.4785	20000000	20000000	-689.4927649508659	10868.588177763495
2024-08-21T11:31:15	56.415452259544615	178.26249218627774	151.4621457877791	12.4785	34429	9310965	-690.4547740455387	11128.750781372226
2024-08-21T11:31:16	56.43553741079763	178.26916523582452	151.46220517737262	12.4985	20000000	20000000	-688.4462589202371	11128.083476417549
2024-08-21T11:31:31	56.443527884470875	181.09404859485034	149.92579482262735	12.4985	28597	10109981	-687.6472115529127	10845.595140514966
2024-08-21T11:31:32	56.46346929647513	181.10219552064441	149.92573533023167	12.5185	20000000	20000000	-685.6530703524868	10844.780447935558
2024-08-21T11:31:47	56.45808056024796	178.49775978027475	151.4622646697683	12.5185	19285	9321021	-686.1919439752041	11105.224021972524
2024-08-21T11:31:48	56.478154530557845	178.5045411792067	151.4623242650045	12.5385	20000000	20000000	-684.1845469442155	11104.545882079328
2024-08-21T11:32:03	56.481549240566444	181.33230619176226	149.92567573499548	12.5385	12149	10120294	-683.8450759433554	10821.769380823775
2024-08-21T11:32:04	56.50147702430888	181.34056494868335	149.92561603688029	12.5585	20000000	20000000	-681.8522975691117	10820.943505131665
2024-08-21T11:32:19	56.50032653782979	178.73335889347118	151.4623839631197	12.5585	4117	9330935	-681.9673462170208	11081.664110652882
2024-08-21T11:32:20	56.520389208691	178.7402519412869	151.46244376415243	12.5785	20000000	20000000	-679.9610791309001	11080.974805871308
2024-08-21T11:32:35	56.519178786475756	181.57107372017484	149.92555623584755	12.5785	4331	10131234	-680.0821213524246	10797.892627982517
2024-08-21T11:32:36	56.53909273069093	181.57944822276633	149.9254963318587	12.5985	20000000	20000000	-678.0907269309068	10797.055177723367
2024-08-21T11:32:51	56.54219133450138	178.96951421371887	151.46250366814127	12.5985	11089	9340698	-677.7808665498619	11058.048578628113
2024-08-21T11:32:52	56.562242508905065	178.97651496982348	151.4625636751249	12.618500000000001	20000000	20000000	-675.7757491094935	11057.348503017653
2024-08-21T11:33:07	56.55641643068945	181.81023922886473	149.92543632487508	12.618500000000001	20850	10141622	-676.3583569310549	10773.976077113526
2024-08-21T11:33:08	56.576316428641235	181.81872391370194	149.92537621485786	12.6385	20000000	20000000	-674.3683571358765	10773.127608629806
2024-08-21T11:33:23	56.58367273353003	179.20610366420675	151.4626237851421	12.6385	26327	9350312	-673.6327266469971	11034.389633579325
2024-08-21T11:33:24	56.60371231143153	179.21322161670042	151.46268399823168	12.6585	20000000	20000000	-671.6287688568473	11033.677838329957
2024-08-21T11:33:39	56.593261223076254	182.0498029298548	149.9253160017683	12.6585	37403	10151847	-672.6738776923744	10750.01970701452
2024-08-21T11:33:40	56.6131469854679	182.05840706260884	149.9252556855674	12.6785	20000000	20000000	-670.6853014532098	10749.159293739116
2024-08-21T11:33:56	56.624769828198524	179.44314407944626	151.46274431443257	12.6785	41597	9359770	-669.5230171801477	11010.685592055375
2024-08-21T11:33:57	56.6447976296374	179.45038033622828	151.4628047337837	12.698500000000001	20000000	20000000	-667.5202370362599	11009.961966377172
2024-08-21T11:34:12	56.629711930690725	182.28978202212022	149.92519526621626	12.698500000000001	53990	10161941	-669.0288069309277	10726.021797787978
2024-08-21T11:34:13	56.649583355387456	182.29849994708306	149.9251347436758	12.7185	20000000	20000000	-667.0416644612542	10725.150005291694
2024-08-21T11:34:28	56.66548154378612	179.68063211339387	151.46286525632416	12.7185	56898	9369093	-665.4518456213877	10986.936788660612
